"","INSEE_COM","Annee","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"48768","2B033",2021,185303.05,2775.84,67.12
"48769","2B033",2022,210089.78,3043.34,68.87
"48770","2B033",2023,207953.74,3087.01,67.8
"49560","30007",2019,124901.9,1600.41,75.24
"49561","30007",2020,127825.69,1607.66,77.07
"49562","30007",2021,134190.83,1712.89,77.58
"49563","30007",2022,149059.28,1830.25,79.31
"49564","30007",2023,146621.62,1931.91,75.06
"50438","30189",2019,145409.44,2031.63,69.82
"50439","30189",2020,155191.92,2166.74,70.47
"50440","30189",2021,168680.37,2333.38,71.32
"50441","30189",2022,175371.24,2456.5,69.47
"50442","30189",2023,172751.35,2466.71,68.44
"51534","31069",2019,215575.3,2946.65,71.52
"51535","31069",2020,218001.15,3017.1,70.9
"51536","31069",2021,231929.98,3192.02,72.2
"51537","31069",2022,258698.6,3363.2,75.78
"51538","31069",2023,244935.06,3303.93,72.71
"51888","31149",2019,199232.33,2473.49,78.56
"51889","31149",2020,214383.04,2580.33,81.44
"51890","31149",2021,229473.1,2772.36,79.63
"51891","31149",2022,217549.88,2760.07,77.34
"51892","31149",2023,215670.81,2753.59,76.71
"51922","31157",2019,204816.54,2518.95,80.17
"51923","31157",2020,206508.98,2571.64,80.18
"51924","31157",2021,236485.44,2710.55,86.26
"51925","31157",2022,248580.42,2924.85,83.99
"51926","31157",2023,223060.86,2852.17,76.54
"52988","31395",2019,172996.63,2147.53,81.12
"52989","31395",2020,183849.33,2194.96,84.15
"52990","31395",2021,197478.15,2361.57,82.3
"52991","31395",2022,200666.08,2531.32,77.51
"52992","31395",2023,180467.2,2334.68,76.46
"53684","31555",2019,198787.35,3177.85,63.31
"53685","31555",2020,212322.23,3415.12,63.08
"53686","31555",2021,223234.39,3558.08,63.53
"53687","31555",2022,231289.73,3667.19,63.38
"53688","31555",2023,227759.74,3611.65,63.33
"53694","31557",2019,287642.67,2931.43,94.26
"53695","31557",2020,277285.99,3075.49,87.51
"53696","31557",2021,298812.14,3197.4,90.36
"53697","31557",2022,326811.24,3471.22,91.89
"53698","31557",2023,336352.32,3524.93,93.18
"53905","32013",2019,124806.58,1555.79,79.12
"53906","32013",2020,131175.9,1601.74,82.29
"53907","32013",2021,133277.7,1686.62,79.4
"53908","32013",2022,141175.17,1802.1,78.7
"53909","32013",2023,139270.03,1778.46,79.64
"55961","33039",2019,269632.62,3632.73,74.03
"55962","33039",2020,279309.53,3847.66,73.44
"55963","33039",2021,314333.63,4182.36,75.54
"55964","33039",2022,275353.37,3982.46,69.82
"55965","33039",2023,286202.24,4014.94,71.37
"56073","33063",2019,322298,4645.36,70.24
"56074","33063",2020,330927.8,4756.65,71.14
"56075","33063",2021,359325.4,4965.28,73.03
"56076","33063",2022,360913.13,5040.47,72.1
"56077","33063",2023,336933.73,4895.67,68.78
"56096","33069",2019,385417.93,4253.67,88.87
"56097","33069",2020,392963.61,4334.18,87.56
"56098","33069",2021,402764.41,4599.13,85.26
"56099","33069",2022,439521.8,4981.62,84.93
"56100","33069",2023,430692.76,4880.12,85.3
"56124","33075",2019,275099.26,3476.32,78.38
"56125","33075",2020,289488.13,3609.83,80.08
"56126","33075",2021,295059.93,3799.96,76.45
"56127","33075",2022,314666.24,4029.03,76.4
"56128","33075",2023,301217.44,3889.3,75.83
"56319","33119",2019,210694.02,3070.28,69.54
"56320","33119",2020,206856.45,3269.33,65.9
"56321","33119",2021,227103.41,3400.76,67.17
"56322","33119",2022,244217.09,3698.03,66.38
"56323","33119",2023,206338.16,3382.98,62.91
"56518","33162",2019,274628.71,3363.14,81.02
"56519","33162",2020,274210.29,3515.85,79.74
"56520","33162",2021,304781.2,3815.08,79.99
"56521","33162",2022,320625.81,3919.08,80.61
"56522","33162",2023,291078.08,3881.3,74.91
"56663","33192",2019,262005.5,3423.6,77.82
