Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
4 pièces,8 926,"27,7",8 759,"26,9",8 178,"25,3",18033,bourges
5 pièces ou plus,7 553,"23,4",8 179,"25,1",8 879,"27,5",18033,bourges
Ensemble,12 664,"100,0",12 673,"100,0",12 426,"100,0",18279,vierzon
1 pièce,431,"3,4",355,"2,8",274,"2,2",18279,vierzon
2 pièces,1 539,"12,2",1 495,"11,8",1 520,"12,2",18279,vierzon
3 pièces,3 150,"24,9",3 479,"27,5",3 197,"25,7",18279,vierzon
4 pièces,3 858,"30,5",4 081,"32,2",3 779,"30,4",18279,vierzon
5 pièces ou plus,3 687,"29,1",3 264,"25,8",3 655,"29,4",18279,vierzon
Ensemble,24 328,"100,0",23 829,"100,0",24 558,"100,0",19031,brive-la-gaillarde
1 pièce,1 150,"4,7",1 245,"5,2",1 241,"5,1",19031,brive-la-gaillarde
2 pièces,3 958,"16,3",3 795,"15,9",3 916,"15,9",19031,brive-la-gaillarde
3 pièces,6 393,"26,3",6 411,"26,9",6 464,"26,3",19031,brive-la-gaillarde
4 pièces,6 799,"27,9",6 248,"26,2",6 289,"25,6",19031,brive-la-gaillarde
5 pièces ou plus,6 029,"24,8",6 130,"25,7",6 648,"27,1",19031,brive-la-gaillarde
Ensemble,10 714,"100,0",10 525,"100,0",10 301,"100,0",21054,beaune
1 pièce,873,"8,1",792,"7,5",696,"6,8",21054,beaune
2 pièces,1 528,"14,3",1 699,"16,1",1 648,"16,0",21054,beaune
3 pièces,2 818,"26,3",2 571,"24,4",2 580,"25,1",21054,beaune
4 pièces,2 593,"24,2",2 448,"23,3",2 431,"23,6",21054,beaune
5 pièces ou plus,2 902,"27,1",3 015,"28,6",2 945,"28,6",21054,beaune
Ensemble,79 581,"100,0",82 093,"100,0",87 936,"100,0",21231,dijon
1 pièce,11 952,"15,0",12 246,"14,9",13 366,"15,2",21231,dijon
2 pièces,16 890,"21,2",17 812,"21,7",20 217,"23,0",21231,dijon
3 pièces,20 021,"25,2",21 125,"25,7",22 908,"26,1",21231,dijon
4 pièces,16 774,"21,1",17 171,"20,9",17 474,"19,9",21231,dijon
5 pièces ou plus,13 945,"17,5",13 739,"16,7",13 971,"15,9",21231,dijon
Ensemble,9 561,"100,0",9 990,"100,0",10 404,"100,0",22113,lannion
