0,1,2,code_insee,Ville
Nombre moyen d'habitant(s) par logement,"2,0","1,8",59378,marcq-en-baroeul
Nombre moyen d'habitant(s) par logement,"2,1","1,8",59392,maubeuge
Nombre moyen d'habitant(s) par logement,"2,2","1,8",59410,mons-en-baroeul
Nombre moyen d'habitant(s) par logement,"2,3","1,8",59512,roubaix
Nombre moyen d'habitant(s) par logement,"2,2","1,8",59599,tourcoing
Nombre moyen d'habitant(s) par logement,"1,6","1,8",59606,valenciennes
Nombre moyen d'habitant(s) par logement,"2,1","1,8",59646,wasquehal
Nombre moyen d'habitant(s) par logement,"2,3","1,8",59650,wattrelos
Nombre moyen d'habitant(s) par logement,"2,0","1,8",60057,beauvais
Nombre moyen d'habitant(s) par logement,"1,9","1,8",60159,compiegne
Nombre moyen d'habitant(s) par logement,"2,6","1,8",60175,creil
Nombre moyen d'habitant(s) par logement,"2,5","1,8",60463,nogent-sur-oise
Nombre moyen d'habitant(s) par logement,"1,7","1,8",61001,alencon
Nombre moyen d'habitant(s) par logement,"1,8","1,8",62041,arras
Nombre moyen d'habitant(s) par logement,"1,8","1,8",62119,bethune
Nombre moyen d'habitant(s) par logement,"1,7","1,8",62160,boulogne-sur-mer
Nombre moyen d'habitant(s) par logement,"2,0","1,8",62178,bruay-la-buissiere
Nombre moyen d'habitant(s) par logement,"1,8","1,8",62193,calais
Nombre moyen d'habitant(s) par logement,"2,1","1,8",62427,henin-beaumont
Nombre moyen d'habitant(s) par logement,"1,8","1,8",62498,lens
Nombre moyen d'habitant(s) par logement,"2,2","1,8",62510,lievin
Nombre moyen d'habitant(s) par logement,"1,6","1,8",63113,clermont-ferrand
Nombre moyen d'habitant(s) par logement,"2,0","1,8",63124,cournon-d-auvergne
Nombre moyen d'habitant(s) par logement,"1,5","1,8",64024,anglet
Nombre moyen d'habitant(s) par logement,"1,6","1,8",64102,bayonne
Nombre moyen d'habitant(s) par logement,"1,0","1,8",64122,biarritz
Nombre moyen d'habitant(s) par logement,"1,4","1,8",64445,pau
Nombre moyen d'habitant(s) par logement,"1,5","1,8",65440,tarbes
Nombre moyen d'habitant(s) par logement,"1,6","1,8",66136,perpignan
Nombre moyen d'habitant(s) par logement,"1,9","1,8",67180,haguenau
Nombre moyen d'habitant(s) par logement,"1,8","1,8",67218,illkirch-graffenstaden
Nombre moyen d'habitant(s) par logement,"2,1","1,8",67267,lingolsheim
Nombre moyen d'habitant(s) par logement,"1,9","1,8",67447,schiltigheim
Nombre moyen d'habitant(s) par logement,"1,8","1,8",67482,strasbourg
Nombre moyen d'habitant(s) par logement,"1,9","1,8",68066,colmar
Nombre moyen d'habitant(s) par logement,"1,8","1,8",68224,mulhouse
Nombre moyen d'habitant(s) par logement,"1,9","1,8",68297,saint-louis
Nombre moyen d'habitant(s) par logement,"2,2","1,8",69029,bron
Nombre moyen d'habitant(s) par logement,"1,9","1,8",69034,caluire-et-cuire
Nombre moyen d'habitant(s) par logement,"2,3","1,8",69091,givors
Nombre moyen d'habitant(s) par logement,"1,7","1,8",69123,lyon
Nombre moyen d'habitant(s) par logement,"1,4","1,8",69149,oullins-pierre-benite
Nombre moyen d'habitant(s) par logement,"2,0","1,8",69202,sainte-foy-les-lyon
Nombre moyen d'habitant(s) par logement,"2,2","1,8",69204,saint-genis-laval
Nombre moyen d'habitant(s) par logement,"2,0","1,8",69244,tassin-la-demi-lune
Nombre moyen d'habitant(s) par logement,"2,6","1,8",69256,vaulx-en-velin
Nombre moyen d'habitant(s) par logement,"2,2","1,8",69259,venissieux
Nombre moyen d'habitant(s) par logement,"1,8","1,8",69264,villefranche-sur-saone
Nombre moyen d'habitant(s) par logement,"1,8","1,8",69266,villeurbanne
Nombre moyen d'habitant(s) par logement,"2,2","1,8",69275,decines-charpieu
Nombre moyen d'habitant(s) par logement,"2,4","1,8",69282,meyzieu
Nombre moyen d'habitant(s) par logement,"2,4","1,8",69286,rillieux-la-pape
Nombre moyen d'habitant(s) par logement,"2,2","1,8",69290,saint-priest
Nombre moyen d'habitant(s) par logement,"1,6","1,8",71076,chalon-sur-saone
Nombre moyen d'habitant(s) par logement,"1,6","1,8",71153,le-creusot
Nombre moyen d'habitant(s) par logement,"1,8","1,8",71270,macon
Nombre moyen d'habitant(s) par logement,"1,7","1,8",72181,le-mans
Nombre moyen d'habitant(s) par logement,"1,4","1,8",73008,aix-les-bains
Nombre moyen d'habitant(s) par logement,"1,8","1,8",73065,chambery
Nombre moyen d'habitant(s) par logement,"1,8","1,8",74010,annecy
Nombre moyen d'habitant(s) par logement,"1,8","1,8",74012,annemasse
Nombre moyen d'habitant(s) par logement,"1,7","1,8",74281,thonon-les-bains
Nombre moyen d'habitant(s) par logement,"1,5","1,8",75056,paris
Nombre moyen d'habitant(s) par logement,"1,4","1,8",76217,dieppe
Nombre moyen d'habitant(s) par logement,"1,9","1,8",76322,le-grand-quevilly
Nombre moyen d'habitant(s) par logement,"1,8","1,8",76351,le-havre
Nombre moyen d'habitant(s) par logement,"1,8","1,8",76451,mont-saint-aignan
Nombre moyen d'habitant(s) par logement,"1,9","1,8",76498,le-petit-quevilly
Nombre moyen d'habitant(s) par logement,"1,5","1,8",76540,rouen
Nombre moyen d'habitant(s) par logement,"2,2","1,8",76575,saint-etienne-du-rouvray
Nombre moyen d'habitant(s) par logement,"1,9","1,8",76681,sotteville-les-rouen
Nombre moyen d'habitant(s) par logement,"2,3","1,8",77058,bussy-saint-georges
Nombre moyen d'habitant(s) par logement,"2,3","1,8",77083,champs-sur-marne
Nombre moyen d'habitant(s) par logement,"2,2","1,8",77108,chelles
Nombre moyen d'habitant(s) par logement,"2,3","1,8",77122,combs-la-ville
Nombre moyen d'habitant(s) par logement,"2,3","1,8",77152,dammarie-les-lys
Nombre moyen d'habitant(s) par logement,"2,0","1,8",77243,lagny-sur-marne
Nombre moyen d'habitant(s) par logement,"2,2","1,8",77284,meaux
Nombre moyen d'habitant(s) par logement,"2,3","1,8",77285,le-mee-sur-seine
Nombre moyen d'habitant(s) par logement,"2,1","1,8",77288,melun
Nombre moyen d'habitant(s) par logement,"2,6","1,8",77294,mitry-mory
Nombre moyen d'habitant(s) par logement,"2,5","1,8",77305,montereau-fault-yonne
Nombre moyen d'habitant(s) par logement,"2,3","1,8",77350,ozoir-la-ferriere
Nombre moyen d'habitant(s) par logement,"2,4","1,8",77373,pontault-combault
Nombre moyen d'habitant(s) par logement,"2,7","1,8",77390,roissy-en-brie
Nombre moyen d'habitant(s) par logement,"2,8","1,8",77445,savigny-le-temple
Nombre moyen d'habitant(s) par logement,"2,3","1,8",77468,torcy
Nombre moyen d'habitant(s) par logement,"2,4","1,8",77514,villeparisis
Nombre moyen d'habitant(s) par logement,"2,2","1,8",78005,acheres
Nombre moyen d'habitant(s) par logement,"2,2","1,8",78126,la-celle-saint-cloud
Nombre moyen d'habitant(s) par logement,"2,1","1,8",78146,chatou
Nombre moyen d'habitant(s) par logement,"1,9","1,8",78158,le-chesnay-rocquencourt
