"","X","Hiver","Printemps","Eté","Automne","code_insee","Ville"
"722","Hauteur de pluie","222","194","246","240","92049","montrouge"
"723","Heures d'ensoleillement","25","50","56","18","92050","nanterre"
"724","Hauteur de pluie","222","194","246","240","92050","nanterre"
"725","Heures d'ensoleillement","25","50","56","18","92051","neuilly-sur-seine"
"726","Hauteur de pluie","222","194","246","240","92051","neuilly-sur-seine"
"727","Heures d'ensoleillement","","","","","92060","le-plessis-robinson"
"728","Hauteur de pluie","199","240","208","255","92060","le-plessis-robinson"
"729","Heures d'ensoleillement","25","50","56","18","92062","puteaux"
"730","Hauteur de pluie","222","194","246","240","92062","puteaux"
"731","Heures d'ensoleillement","","","","","92063","rueil-malmaison"
"732","Hauteur de pluie","199","240","208","255","92063","rueil-malmaison"
"733","Heures d'ensoleillement","","","","","92064","saint-cloud"
"734","Hauteur de pluie","199","240","208","255","92064","saint-cloud"
"735","Heures d'ensoleillement","25","50","56","18","92071","sceaux"
"736","Hauteur de pluie","222","194","246","240","92071","sceaux"
"737","Heures d'ensoleillement","","","","","92072","sevres"
"738","Hauteur de pluie","199","240","208","255","92072","sevres"
"739","Heures d'ensoleillement","25","50","56","18","92073","suresnes"
"740","Hauteur de pluie","222","194","246","240","92073","suresnes"
"741","Heures d'ensoleillement","25","50","56","18","92075","vanves"
"742","Hauteur de pluie","222","194","246","240","92075","vanves"
"743","Heures d'ensoleillement","","","","","92078","villeneuve-la-garenne"
"744","Hauteur de pluie","221","180","205","230","92078","villeneuve-la-garenne"
"745","Heures d'ensoleillement","","","","","93001","aubervilliers"
"746","Hauteur de pluie","221","180","205","230","93001","aubervilliers"
"747","Heures d'ensoleillement","","","","","93005","aulnay-sous-bois"
"748","Hauteur de pluie","221","180","205","230","93005","aulnay-sous-bois"
"749","Heures d'ensoleillement","25","50","56","18","93006","bagnolet"
"750","Hauteur de pluie","222","194","246","240","93006","bagnolet"
"751","Heures d'ensoleillement","","","","","93007","le-blanc-mesnil"
"752","Hauteur de pluie","221","180","205","230","93007","le-blanc-mesnil"
"753","Heures d'ensoleillement","","","","","93008","bobigny"
"754","Hauteur de pluie","221","180","205","230","93008","bobigny"
"755","Heures d'ensoleillement","","","","","93010","bondy"
"756","Hauteur de pluie","221","180","205","230","93010","bondy"
"757","Heures d'ensoleillement","","","","","93014","clichy-sous-bois"
"758","Hauteur de pluie","221","180","205","230","93014","clichy-sous-bois"
"759","Heures d'ensoleillement","","","","","93027","la-courneuve"
"760","Hauteur de pluie","221","180","205","230","93027","la-courneuve"
"761","Heures d'ensoleillement","","","","","93029","drancy"
"762","Hauteur de pluie","221","180","205","230","93029","drancy"
"763","Heures d'ensoleillement","","","","","93031","epinay-sur-seine"
"764","Hauteur de pluie","221","180","205","230","93031","epinay-sur-seine"
"765","Heures d'ensoleillement","","","","","93032","gagny"
"766","Hauteur de pluie","221","180","205","230","93032","gagny"
"767","Heures d'ensoleillement","25","50","56","18","93045","les-lilas"
"768","Hauteur de pluie","222","194","246","240","93045","les-lilas"
"769","Heures d'ensoleillement","","","","","93046","livry-gargan"
"770","Hauteur de pluie","221","180","205","230","93046","livry-gargan"
"771","Heures d'ensoleillement","","","","","93047","montfermeil"
"772","Hauteur de pluie","221","180","205","230","93047","montfermeil"
"773","Heures d'ensoleillement","25","50","56","18","93048","montreuil"
"774","Hauteur de pluie","222","194","246","240","93048","montreuil"
"775","Heures d'ensoleillement","","","","","93049","neuilly-plaisance"
"776","Hauteur de pluie","221","180","205","230","93049","neuilly-plaisance"
"777","Heures d'ensoleillement","","","","","93050","neuilly-sur-marne"
"778","Hauteur de pluie","221","180","205","230","93050","neuilly-sur-marne"
"779","Heures d'ensoleillement","","","","","93051","noisy-le-grand"
"780","Hauteur de pluie","221","180","205","230","93051","noisy-le-grand"
"781","Heures d'ensoleillement","","","","","93053","noisy-le-sec"
"782","Hauteur de pluie","221","180","205","230","93053","noisy-le-sec"
"783","Heures d'ensoleillement","","","","","93055","pantin"
"784","Hauteur de pluie","221","180","205","230","93055","pantin"
"785","Heures d'ensoleillement","","","","","93057","les-pavillons-sous-bois"
"786","Hauteur de pluie","221","180","205","230","93057","les-pavillons-sous-bois"
"787","Heures d'ensoleillement","","","","","93059","pierrefitte-sur-seine"
"788","Hauteur de pluie","221","180","205","230","93059","pierrefitte-sur-seine"
"789","Heures d'ensoleillement","","","","","93063","romainville"
"790","Hauteur de pluie","221","180","205","230","93063","romainville"
"791","Heures d'ensoleillement","","","","","93064","rosny-sous-bois"
"792","Hauteur de pluie","221","180","205","230","93064","rosny-sous-bois"
