Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Ensemble,15 035,"100,0",14 986,"100,0",15 722,"100,0",13054,marignane
Résidences principales,14 157,"94,2",13 761,"91,8",14 389,"91,5",13054,marignane
Résidences secondaires et logements occasionnels,76,"0,5",231,"1,5",224,"1,4",13054,marignane
Logements vacants,802,"5,3",994,"6,6",1 109,"7,1",13054,marignane
,,,,,,,13054,marignane
Maisons,6 460,"43,0",6 484,"43,3",6 522,"41,5",13054,marignane
Appartements,8 477,"56,4",8 328,"55,6",9 097,"57,9",13054,marignane
Ensemble,416 607,"100,0",435 744,"100,0",462 324,"100,0",13055,marseille
Résidences principales,379 139,"91,0",389 813,"89,5",410 237,"88,7",13055,marseille
Résidences secondaires et logements occasionnels,7 705,"1,8",12 712,"2,9",15 210,"3,3",13055,marseille
