"","Hommes","Femmes","code_insee","Ville","Homme","Femme"
"183",47160,51851,"59599","tourcoing",47.63,52.37
"184",20942,22049,"59606","valenciennes",48.71,51.29
"185",9775,11061,"59646","wasquehal",46.91,53.09
"186",19236,21600,"59650","wattrelos",47.11,52.89
"187",26773,29904,"60057","beauvais",47.24,52.76
"188",19061,21333,"60159","compiegne",47.19,52.81
"189",18106,18000,"60175","creil",50.15,49.85
"190",10358,11024,"60463","nogent-sur-oise",48.44,51.56
"191",11859,13696,"61001","alencon",46.41,53.59
"192",20522,22078,"62041","arras",48.17,51.83
"193",12140,12852,"62119","bethune",48.58,51.42
"194",19196,21714,"62160","boulogne-sur-mer",46.92,53.08
"195",10436,11391,"62178","bruay-la-buissiere",47.81,52.19
"196",32451,34929,"62193","calais",48.16,51.84
"197",12502,13533,"62427","henin-beaumont",48.02,51.98
"198",15430,17188,"62498","lens",47.31,52.69
"199",14420,15729,"62510","lievin",47.83,52.17
"200",69891,77436,"63113","clermont-ferrand",47.44,52.56
"201",9536,10657,"63124","cournon-d-auvergne",47.22,52.78
"202",19046,22107,"64024","anglet",46.28,53.72
"203",24429,28320,"64102","bayonne",46.31,53.69
"204",11403,14361,"64122","biarritz",44.26,55.74
"205",35856,41210,"64445","pau",46.53,53.47
"206",20946,23009,"65440","tarbes",47.65,52.35
"207",56122,63534,"66136","perpignan",46.9,53.1
"208",17542,18173,"67180","haguenau",49.12,50.88
"209",13118,14000,"67218","illkirch-graffenstaden",48.37,51.63
"210",9775,10491,"67267","lingolsheim",48.23,51.77
"211",16410,17719,"67447","schiltigheim",48.08,51.92
"212",138165,153148,"67482","strasbourg",47.43,52.57
"213",32443,35287,"68066","colmar",47.9,52.1
"214",52213,54128,"68224","mulhouse",49.1,50.9
"215",11308,11390,"68297","saint-louis",49.82,50.18
"216",20563,22486,"69029","bron",47.77,52.23
"217",20299,23273,"69034","caluire-et-cuire",46.59,53.41
"218",10044,10610,"69091","givors",48.63,51.37
"219",245332,276918,"69123","lyon",46.98,53.02
"220",17711,19917,"69149","oullins-pierre-benite",47.07,52.93
"221",9990,11868,"69202","sainte-foy-les-lyon",45.7,54.3
"222",9952,10977,"69204","saint-genis-laval",47.55,52.45
"223",10709,11967,"69244","tassin-la-demi-lune",47.23,52.77
"224",25191,26948,"69256","vaulx-en-velin",48.32,51.68
