"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"895","Familles monoparentales","1 640","9,6","1 845","10,8","1 823","10,2","59378","marcq-en-baroeul"
"896","Ménages d'une personne","4 241","34,2","4 868","38,5","5 273","41,5","59392","maubeuge"
"897","Autres ménages sans famille","247","2,0","282","2,2","206","1,6","59392","maubeuge"
"898","Couples sans enfant","2 777","22,4","2 840","22,4","2 514","19,8","59392","maubeuge"
"899","Couples avec enfant(s)","3 345","27,0","3 007","23,8","2 950","23,2","59392","maubeuge"
"900","Familles monoparentales","1 788","14,4","1 657","13,1","1 747","13,8","59392","maubeuge"
"901","Ménages d'une personne","3 246","36,3","3 220","37,0","3 443","37,5","59410","mons-en-baroeul"
"902","Autres ménages sans famille","233","2,6","220","2,5","194","2,1","59410","mons-en-baroeul"
"903","Couples sans enfant","1 815","20,3","1 752","20,1","1 880","20,5","59410","mons-en-baroeul"
"904","Couples avec enfant(s)","2 519","28,1","2 358","27,1","2 494","27,2","59410","mons-en-baroeul"
"905","Familles monoparentales","1 140","12,7","1 163","13,3","1 160","12,7","59410","mons-en-baroeul"
"906","Ménages d'une personne","12 090","34,3","12 334","34,4","14 522","38,1","59512","roubaix"
"907","Autres ménages sans famille","1 009","2,9","1 128","3,1","769","2,0","59512","roubaix"
"908","Couples sans enfant","5 511","15,6","5 324","14,9","5 401","14,2","59512","roubaix"
"909","Couples avec enfant(s)","10 802","30,6","10 818","30,2","10 936","28,7","59512","roubaix"
"910","Familles monoparentales","5 846","16,6","6 219","17,4","6 527","17,1","59512","roubaix"
"911","Ménages d'une personne","11 823","32,6","12 491","32,6","14 855","36,2","59599","tourcoing"
"912","Autres ménages sans famille","947","2,6","878","2,3","636","1,5","59599","tourcoing"
"913","Couples sans enfant","7 164","19,8","7 387","19,3","7 819","19,0","59599","tourcoing"
"914","Couples avec enfant(s)","11 372","31,4","11 891","31,1","11 319","27,6","59599","tourcoing"
"915","Familles monoparentales","4 939","13,6","5 612","14,7","6 442","15,7","59599","tourcoing"
"916","Ménages d'une personne","10 254","48,0","10 824","49,1","11 629","52,0","59606","valenciennes"
"917","Autres ménages sans famille","573","2,7","671","3,0","494","2,2","59606","valenciennes"
"918","Couples sans enfant","4 516","21,1","4 382","19,9","4 140","18,5","59606","valenciennes"
"919","Couples avec enfant(s)","3 946","18,5","3 858","17,5","3 609","16,1","59606","valenciennes"
"920","Familles monoparentales","2 091","9,8","2 289","10,4","2 486","11,1","59606","valenciennes"
"921","Ménages d'une personne","2 482","30,8","2 846","32,4","3 611","37,9","59646","wasquehal"
"922","Autres ménages sans famille","135","1,7","169","1,9","101","1,1","59646","wasquehal"
"923","Couples sans enfant","1 930","24,0","2 184","24,9","2 316","24,3","59646","wasquehal"
"924","Couples avec enfant(s)","2 737","34,0","2 674","30,5","2 486","26,1","59646","wasquehal"
"925","Familles monoparentales","762","9,5","904","10,3","1 006","10,6","59646","wasquehal"
"926","Ménages d'une personne","4 322","27,1","4 934","30,1","5 664","33,4","59650","wattrelos"
"927","Autres ménages sans famille","279","1,7","359","2,2","179","1,1","59650","wattrelos"
"928","Couples sans enfant","3 798","23,8","3 538","21,6","3 436","20,3","59650","wattrelos"
"929","Couples avec enfant(s)","5 634","35,3","5 464","33,3","5 317","31,4","59650","wattrelos"
"930","Familles monoparentales","1 907","12,0","2 115","12,9","2 363","13,9","59650","wattrelos"
"931","Ménages d'une personne","9 028","38,4","10 486","42,6","11 852","45,8","60057","beauvais"
"932","Autres ménages sans famille","622","2,6","555","2,3","492","1,9","60057","beauvais"
"933","Couples sans enfant","5 408","23,0","5 113","20,8","4 935","19,1","60057","beauvais"
"934","Couples avec enfant(s)","5 451","23,2","5 174","21,0","5 021","19,4","60057","beauvais"
"935","Familles monoparentales","2 988","12,7","3 288","13,4","3 555","13,7","60057","beauvais"
"936","Ménages d'une personne","8 593","45,5","9 181","47,4","9 465","48,2","60159","compiegne"
"937","Autres ménages sans famille","597","3,2","582","3,0","498","2,5","60159","compiegne"
"938","Couples sans enfant","3 918","20,7","3 767","19,5","3 614","18,4","60159","compiegne"
"939","Couples avec enfant(s)","3 890","20,6","3 646","18,8","3 687","18,8","60159","compiegne"
"940","Familles monoparentales","1 906","10,1","2 179","11,3","2 375","12,1","60159","compiegne"
"941","Ménages d'une personne","3 984","32,1","4 093","32,4","4 682","35,8","60175","creil"
"942","Autres ménages sans famille","334","2,7","287","2,3","245","1,9","60175","creil"
"943","Couples sans enfant","2 227","18,0","1 983","15,7","1 747","13,4","60175","creil"
"944","Couples avec enfant(s)","4 012","32,4","4 466","35,3","4 329","33,1","60175","creil"
"945","Familles monoparentales","1 843","14,9","1 823","14,4","2 080","15,9","60175","creil"
"946","Ménages d'une personne","2 039","29,4","2 126","29,9","2 816","34,3","60463","nogent-sur-oise"
"947","Autres ménages sans famille","136","2,0","160","2,3","117","1,4","60463","nogent-sur-oise"
"948","Couples sans enfant","1 572","22,7","1 591","22,4","1 329","16,2","60463","nogent-sur-oise"
"949","Couples avec enfant(s)","2 392","34,5","2 397","33,8","2 757","33,6","60463","nogent-sur-oise"
"950","Familles monoparentales","786","11,3","826","11,6","1 191","14,5","60463","nogent-sur-oise"
"951","Ménages d'une personne","6 672","50,3","6 504","49,8","7 463","54,5","61001","alencon"
"952","Autres ménages sans famille","250","1,9","248","1,9","228","1,7","61001","alencon"
"953","Couples sans enfant","2 830","21,3","2 882","22,1","2 606","19,0","61001","alencon"
"954","Couples avec enfant(s)","2 190","16,5","2 003","15,4","1 835","13,4","61001","alencon"
"955","Familles monoparentales","1 333","10,0","1 411","10,8","1 571","11,5","61001","alencon"
"956","Ménages d'une personne","9 552","46,9","9 683","48,1","10 646","49,7","62041","arras"
"957","Autres ménages sans famille","478","2,3","475","2,4","341","1,6","62041","arras"
"958","Couples sans enfant","4 278","21,0","4 137","20,6","3 910","18,3","62041","arras"
"959","Couples avec enfant(s)","3 735","18,3","3 568","17,7","3 705","17,3","62041","arras"
"960","Familles monoparentales","2 315","11,4","2 268","11,3","2 805","13,1","62041","arras"
"961","Ménages d'une personne","5 133","42,9","5 639","46,4","5 998","48,5","62119","bethune"
"962","Autres ménages sans famille","234","2,0","247","2,0","213","1,7","62119","bethune"
"963","Couples sans enfant","2 671","22,3","2 534","20,8","2 507","20,3","62119","bethune"
"964","Couples avec enfant(s)","2 466","20,6","2 218","18,3","2 111","17,1","62119","bethune"
"965","Familles monoparentales","1 457","12,2","1 515","12,5","1 529","12,4","62119","bethune"
"966","Ménages d'une personne","8 470","42,5","8 914","44,5","10 186","48,9","62160","boulogne-sur-mer"
"967","Autres ménages sans famille","469","2,4","446","2,2","298","1,4","62160","boulogne-sur-mer"
"968","Couples sans enfant","4 050","20,3","3 766","18,8","3 872","18,6","62160","boulogne-sur-mer"
"969","Couples avec enfant(s)","4 097","20,6","3 882","19,4","3 423","16,4","62160","boulogne-sur-mer"
"970","Familles monoparentales","2 840","14,3","3 015","15,1","3 032","14,6","62160","boulogne-sur-mer"
"971","Ménages d'une personne","3 753","36,7","3 679","37,5","3 820","39,1","62178","bruay-la-buissiere"
"972","Autres ménages sans famille","211","2,1","198","2,0","156","1,6","62178","bruay-la-buissiere"
"973","Couples sans enfant","2 464","24,1","2 380","24,3","2 172","22,2","62178","bruay-la-buissiere"
"974","Couples avec enfant(s)","2 654","25,9","2 333","23,8","2 362","24,2","62178","bruay-la-buissiere"
"975","Familles monoparentales","1 152","11,3","1 210","12,4","1 255","12,9","62178","bruay-la-buissiere"
"976","Ménages d'une personne","11 265","35,5","12 463","38,8","14 055","43,7","62193","calais"
"977","Autres ménages sans famille","743","2,3","657","2,0","432","1,3","62193","calais"
"978","Couples sans enfant","7 197","22,7","6 953","21,7","6 852","21,3","62193","calais"
"979","Couples avec enfant(s)","8 547","26,9","7 628","23,8","6 726","20,9","62193","calais"
"980","Familles monoparentales","3 991","12,6","4 408","13,7","4 068","12,7","62193","calais"
"981","Ménages d'une personne","3 430","31,8","3 682","33,4","4 024","35,6","62427","henin-beaumont"
"982","Autres ménages sans famille","254","2,4","238","2,2","137","1,2","62427","henin-beaumont"
"983","Couples sans enfant","2 773","25,7","2 740","24,8","2 638","23,3","62427","henin-beaumont"
"984","Couples avec enfant(s)","3 233","30,0","3 171","28,7","3 032","26,8","62427","henin-beaumont"
"985","Familles monoparentales","1 088","10,1","1 203","10,9","1 486","13,1","62427","henin-beaumont"
"986","Ménages d'une personne","5 885","38,6","5 703","41,3","7 186","45,6","62498","lens"
"987","Autres ménages sans famille","424","2,8","301","2,2","287","1,8","62498","lens"
"988","Couples sans enfant","3 343","21,9","2 899","21,0","3 060","19,4","62498","lens"
"989","Couples avec enfant(s)","3 732","24,5","3 132","22,7","3 146","20,0","62498","lens"
"990","Familles monoparentales","1 864","12,2","1 772","12,8","2 072","13,2","62498","lens"
"991","Ménages d'une personne","3 817","29,9","4 071","31,8","4 576","35,3","62510","lievin"
"992","Autres ménages sans famille","274","2,1","269","2,1","146","1,1","62510","lievin"
"993","Couples sans enfant","3 091","24,2","3 034","23,7","3 109","24,0","62510","lievin"
"994","Couples avec enfant(s)","3 932","30,8","3 777","29,5","3 502","27,0","62510","lievin"
"995","Familles monoparentales","1 661","13,0","1 632","12,8","1 634","12,6","62510","lievin"
"996","Ménages d'une personne","39 463","52,9","41 611","54,4","45 808","57,0","63113","clermont-ferrand"
"997","Autres ménages sans famille","2 876","3,9","3 070","4,0","2 713","3,4","63113","clermont-ferrand"
"998","Couples sans enfant","15 143","20,3","14 638","19,2","13 747","17,1","63113","clermont-ferrand"
"999","Couples avec enfant(s)","11 366","15,2","11 226","14,7","11 357","14,1","63113","clermont-ferrand"
"1000","Familles monoparentales","5 765","7,7","5 886","7,7","6 804","8,5","63113","clermont-ferrand"
"1001","Ménages d'une personne","2 622","30,8","2 988","33,4","3 620","38,1","63124","cournon-d-auvergne"
"1002","Autres ménages sans famille","132","1,5","115","1,3","99","1,0","63124","cournon-d-auvergne"
"1003","Couples sans enfant","2 688","31,6","2 821","31,5","2 658","28,0","63124","cournon-d-auvergne"
"1004","Couples avec enfant(s)","2 306","27,1","2 258","25,2","2 098","22,1","63124","cournon-d-auvergne"
"1005","Familles monoparentales","771","9,0","776","8,7","1 029","10,8","63124","cournon-d-auvergne"
"1006","Ménages d'une personne","7 949","41,9","8 645","43,6","10 717","47,4","64024","anglet"
"1007","Autres ménages sans famille","467","2,5","519","2,6","307","1,4","64024","anglet"
"1008","Couples sans enfant","5 225","27,6","5 235","26,4","5 963","26,4","64024","anglet"
"1009","Couples avec enfant(s)","3 578","18,9","3 495","17,6","3 477","15,4","64024","anglet"
"1010","Familles monoparentales","1 745","9,2","1 956","9,9","2 130","9,4","64024","anglet"
"1011","Ménages d'une personne","11 307","48,9","13 120","50,8","15 880","54,0","64102","bayonne"
"1012","Autres ménages sans famille","723","3,1","799","3,1","628","2,1","64102","bayonne"
"1013","Couples sans enfant","4 889","21,2","5 038","19,5","5 744","19,5","64102","bayonne"
"1014","Couples avec enfant(s)","3 726","16,1","4 162","16,1","4 077","13,9","64102","bayonne"
"1015","Familles monoparentales","2 455","10,6","2 694","10,4","3 056","10,4","64102","bayonne"
"1016","Ménages d'une personne","7 002","49,7","7 081","51,0","8 109","53,8","64122","biarritz"
"1017","Autres ménages sans famille","471","3,3","418","3,0","224","1,5","64122","biarritz"
"1018","Couples sans enfant","3 665","26,0","3 619","26,1","3 670","24,3","64122","biarritz"
"1019","Couples avec enfant(s)","1 771","12,6","1 693","12,2","1 769","11,7","64122","biarritz"
"1020","Familles monoparentales","1 178","8,4","1 064","7,7","1 301","8,6","64122","biarritz"
"1021","Ménages d'une personne","22 524","52,3","23 542","55,3","26 367","59,5","64445","pau"
"1022","Autres ménages sans famille","1 425","3,3","1 406","3,3","906","2,0","64445","pau"
"1023","Couples sans enfant","9 415","21,9","8 262","19,4","7 756","17,5","64445","pau"
"1024","Couples avec enfant(s)","5 951","13,8","5 386","12,7","5 507","12,4","64445","pau"
"1025","Familles monoparentales","3 734","8,7","3 948","9,3","3 753","8,5","64445","pau"
"1026","Ménages d'une personne","12 725","54,2","13 274","57,8","14 787","59,4","65440","tarbes"
"1027","Autres ménages sans famille","631","2,7","711","3,1","529","2,1","65440","tarbes"
"1028","Couples sans enfant","4 858","20,7","4 224","18,4","4 262","17,1","65440","tarbes"
"1029","Couples avec enfant(s)","3 089","13,1","2 550","11,1","2 621","10,5","65440","tarbes"
"1030","Familles monoparentales","2 189","9,3","2 218","9,7","2 692","10,8","65440","tarbes"
"1031","Ménages d'une personne","25 029","44,2","26 810","45,5","28 943","48,7","66136","perpignan"
"1032","Autres ménages sans famille","1 878","3,3","1 822","3,1","1 238","2,1","66136","perpignan"
"1033","Couples sans enfant","12 288","21,7","11 850","20,1","11 038","18,6","66136","perpignan"
"1034","Couples avec enfant(s)","10 287","18,2","10 016","17,0","9 866","16,6","66136","perpignan"
"1035","Familles monoparentales","7 099","12,5","8 368","14,2","8 400","14,1","66136","perpignan"
"1036","Ménages d'une personne","4 781","32,7","5 314","35,1","6 891","40,9","67180","haguenau"
"1037","Autres ménages sans famille","230","1,6","266","1,8","180","1,1","67180","haguenau"
"1038","Couples sans enfant","4 028","27,5","4 124","27,2","4 339","25,7","67180","haguenau"
"1039","Couples avec enfant(s)","4 161","28,4","3 934","26,0","3 687","21,9","67180","haguenau"
"1040","Familles monoparentales","1 427","9,8","1 510","10,0","1 757","10,4","67180","haguenau"
"1041","Ménages d'une personne","5 351","41,9","5 502","43,2","5 952","44,6","67218","illkirch-graffenstaden"
"1042","Autres ménages sans famille","224","1,8","264","2,1","236","1,8","67218","illkirch-graffenstaden"
"1043","Couples sans enfant","3 365","26,4","3 174","24,9","3 285","24,6","67218","illkirch-graffenstaden"
